figure,panel,script,source_folder,source_files,claim_scope
Fig1,A-G,code/fig1_scRNA_reference.py,source_data/Fig01_study_design_scRNA_reference,"Source_Data_Table_S1_scRNA_GEO_sample_manifest.csv; Source_Data_Table_S1_scRNA_GEO_accession_summary.csv; Source_Data_Table_S1_scRNA_GEO_disease_summary.csv",study design and scRNA cohort provenance
Fig2,A-H,code/fig2_mregDC_program.py,source_data/Fig02_scRNA_mregDC_program,"scRNA_cell_marker_feature_matrix.tsv; scRNA_linear_SVM_marker_weights.tsv",scRNA mregDC marker and program source tables
Fig3,A-F,code/validate_main_figure_panel_sources.py,source_data/Fig03_representative_IF_raw_counts,"Fig03_IF_ROI_raw_counts.csv; Fig03_IF_raw_count_summary.csv",representative merged-image IF raw illustrative ROI counts only
Fig4,A-F,code/validate_main_figure_panel_sources.py,source_data/Fig04_Xenium_spatial_segmentation,"xenium_tls_program_scores_map_downsample.csv; xenium_tls_field_segmentation_summary.json; xenium_tls_field_object_metrics.csv; xenium_tls_field_grid_connected_components.csv; xenium_program_gene_availability.csv",Xenium TLS-field and mregDC/AP-proxy spatial segmentation source data
Fig5,A-F,code/validate_main_figure_panel_sources.py,source_data/Fig05_multi_sample_spatial_coupling,"multi_sample_spatial_extended_sample_metrics_long.csv; multi_sample_spatial_extended_dataset_metric_summary.csv; multi_sample_spatial_extended_selected_map_samples.csv; multi_sample_spatial_extended_selected_map_spot_scores.csv; multi_sample_spatial_extended_selected_map_cohigh_overlay.csv; multi_sample_spatial_extended_exact_marker_availability.csv",multi-sample spatial coupling and marker availability
Fig6,A-H,code/validate_main_figure_panel_sources.py,source_data/Fig06_TLS_distance_gradient,"multi_sample_spatial_extended_tls_decile_summary.csv; multi_sample_spatial_extended_tls_decile_long.csv; multi_sample_spatial_extended_spot_scatter_downsample.csv; xenium_distance_to_tls_field_program_gradients.csv",TLS decile and distance-gradient source data
Fig7,A-H,code/validate_main_figure_panel_sources.py,source_data/Fig07_ten_method_immune_deconvolution,"Fig07_immune_raw_with_TIMER_ABIS.tsv; Fig07_immune_correlations_with_TIMER_ABIS.tsv; Fig07_immune_10method_status_TIMER_ABIS.tsv; Fig07_CH_immune_method_atlas_source_matrix.csv; Fig07_CH_immune_method_atlas_TIMER_ABIS_source_matrix.csv; tcga_iobr_10method_raw.tsv; tcga_iobr_10method_correlations_with_IFcore.tsv; tcga_iobr_10method_status.tsv",ten-method immune deconvolution source data
Fig8,A-H,code/validate_main_figure_panel_sources.py,source_data/Fig08_patient_level_composite,"Fig08_CH_patient_feature_atlas_source_matrix.csv; tcga_tls_patient_features.tsv; tcga_tls_risk_scores.tsv",patient-level composite and risk-score source data
Fig9,A-H,code/validate_main_figure_panel_sources.py,source_data/Fig09_LASSO_Cox_internal_validation,"tcga_tls_lasso_selected_features.tsv; Source_Data_Survival_LASSO_CV_curve.csv; Source_Data_Survival_LASSO_lambda_min_coefficients.csv; Source_Data_Survival_time_dependent_ROC_AUC.csv; Source_Data_Survival_time_dependent_ROC_curve.csv; Source_Data_Survival_calibration_by_quintile.csv; source_model_input_patients.csv; source_model_input_patients_with_gdc_clinical.csv; Source_Data_Survival_adjusted_Cox_sensitivity.csv; Source_Data_Survival_adjusted_Cox_covariate_coverage.csv",exploratory LASSO-Cox and internal validation source data
Fig10,A-K,code/validate_main_figure_panel_sources.py,source_data/Fig10_virtual_perturbation,"Fig10_CH_virtual_perturbation_matrix_source_matrix.csv; Source_Data_CellOracle_TF_perturbation_summary.tsv; Source_Data_CellOracle_target_gene_shifts.tsv",scTenifoldKnk and CellOracle virtual perturbation source data
