marker,mean_all,pct_expressing,mean_IF_core_high,mean_IF_core_not_high,mean_difference_high_minus_not_high
ITGAX,0.225802,0.078448,2.236522,0.002432,2.234091
CD74,0.669766,0.228052,2.539812,0.462023,2.077789
CIITA,0.375371,0.13764,1.660556,0.2326,1.427956
B2M,0.437244,0.215861,1.147766,0.358312,0.789454
TAP1,0.136192,0.066883,0.43855,0.102603,0.335947
TAP2,0.23452,0.13069,0.535101,0.201128,0.333973
NLRC5,0.232751,0.099014,0.531751,0.199536,0.332215
PSMB9,0.059207,0.027631,0.272635,0.035497,0.237139
PSMB8,0.109601,0.064604,0.308668,0.087487,0.221181
LAMP3,0.012448,0.008546,0.124482,2e-06,0.124479
CCR7,0.009891,0.003646,0.098901,2e-06,0.098899
CD1C,0.002821,0.00131,0.022289,0.000658,0.021632
CD274,0.007293,0.004102,0.01798,0.006106,0.011874
CLEC9A,0.001752,0.000741,0.009927,0.000844,0.009083
CCL17,0.000293,0.000171,0.001605,0.000147,0.001457
CD40,0.273114,0.162422,0.260859,0.274475,-0.013616
