file,bytes,suffix
FigureS10_Xenium_TLS_fields.pdf,1283950,.pdf
FigureS10_Xenium_TLS_fields.png,1287457,.png
FigureS10_Xenium_TLS_fields.svg,2112373,.svg
FigureS11_TLS_distance_gradients.pdf,57676,.pdf
FigureS11_TLS_distance_gradients.png,441512,.png
FigureS11_TLS_distance_gradients.svg,64784,.svg
FigureS12_immune_deconvolution.pdf,56171,.pdf
FigureS12_immune_deconvolution.png,370000,.png
FigureS12_immune_deconvolution.svg,60394,.svg
FigureS13_patient_composite.pdf,65794,.pdf
FigureS13_patient_composite.png,259311,.png
FigureS13_patient_composite.svg,166649,.svg
FigureS14_perturbation_extras.pdf,60093,.pdf
FigureS14_perturbation_extras.png,436756,.png
FigureS14_perturbation_extras.svg,88313,.svg
FigureS1_singleCellHaystack.pdf,99532,.pdf
FigureS1_singleCellHaystack.png,391069,.png
FigureS1_singleCellHaystack.svg,372372,.svg
FigureS2_Hotspot.pdf,76976,.pdf
FigureS2_Hotspot.png,341958,.png
FigureS2_Hotspot.svg,301428,.svg
FigureS3_spatial_core.pdf,1947696,.pdf
FigureS3_spatial_core.png,2528610,.png
FigureS3_spatial_core.svg,3547373,.svg
FigureS4_multi_sample_spatial_validation.pdf,871385,.pdf
FigureS4_multi_sample_spatial_validation.png,1369196,.png
FigureS4_multi_sample_spatial_validation.svg,1468859,.svg
FigureS5_model_validation.pdf,58736,.pdf
FigureS5_model_validation.png,395967,.png
FigureS5_model_validation.svg,62938,.svg
FigureS6_specificity_adjusted_associations.pdf,53257,.pdf
FigureS6_specificity_adjusted_associations.png,401863,.png
FigureS6_specificity_adjusted_associations.svg,42158,.svg
FigureS8_scRNA_IF_support.pdf,57770,.pdf
FigureS8_scRNA_IF_support.png,257893,.png
FigureS8_scRNA_IF_support.svg,41418,.svg
FigureS9_Xenium_program_maps.pdf,3988880,.pdf
FigureS9_Xenium_program_maps.png,3973940,.png
FigureS9_Xenium_program_maps.svg,5694168,.svg
Supplementary_Figure_S7_drug_prioritization.pdf,59733,.pdf
Supplementary_Figure_S7_drug_prioritization.png,375966,.png
Supplementary_Figure_S7_drug_prioritization.svg,85000,.svg
