field_id,grid_x,grid_y,x,y,TLS_grid_mean,n_cells,n_tls_high_cells,n_cohigh_cells
2,218,0,7660.470833778381,38.89656066894531,0.151599217443305,13,2,1
5,208,1,7310.470833778381,73.89656066894531,0.39028458766474744,16,9,1
5,209,1,7345.470833778381,73.89656066894531,0.14965455684149373,14,4,0
5,210,1,7380.470833778381,73.89656066894531,0.24169546180508336,14,6,0
2,219,1,7695.470833778381,73.89656066894531,0.27315871881520803,13,3,0
2,220,1,7730.470833778381,73.89656066894531,0.18388398721044366,9,2,0
7,203,2,7135.470833778381,108.89656066894531,0.24482526798950122,11,4,1
5,211,2,7415.470833778381,108.89656066894531,0.26151649746862904,16,7,0
2,218,2,7660.470833778381,108.89656066894531,0.2680225730494985,11,3,0
2,221,2,7765.470833778381,108.89656066894531,0.14925471014840708,19,4,0
8,224,2,7870.470833778381,108.89656066894531,0.15580339285107944,6,2,0
8,225,2,7905.470833778381,108.89656066894531,0.217751079175279,11,3,1
8,226,2,7940.470833778381,108.89656066894531,0.4240985309095757,4,1,0
9,197,3,6925.470833778381,143.8965606689453,0.18034731688234798,12,4,3
7,203,3,7135.470833778381,143.8965606689453,0.3425501876106236,16,6,0
5,211,3,7415.470833778381,143.8965606689453,0.21176696632163028,15,4,0
5,212,3,7450.470833778381,143.8965606689453,0.1475619948874456,16,4,0
5,213,3,7485.470833778381,143.8965606689453,0.39354898819692413,9,6,1
2,216,3,7590.470833778381,143.8965606689453,0.21564348601666772,12,2,0
2,217,3,7625.470833778381,143.8965606689453,0.23768636806229196,9,2,1
2,218,3,7660.470833778381,143.8965606689453,0.31714167148945177,17,7,0
8,226,3,7940.470833778381,143.8965606689453,0.26661793751335483,4,1,0
9,197,4,6925.470833778381,178.8965606689453,0.14656029417211494,19,3,0
9,198,4,6960.470833778381,178.8965606689453,0.6031819661211263,12,4,1
8,225,4,7905.470833778381,178.8965606689453,0.1937655207178014,5,4,1
11,118,5,4160.470833778381,213.8965606689453,0.2935721308687817,7,3,0
9,197,5,6925.470833778381,213.8965606689453,0.24839168037971468,12,2,0
14,215,5,7555.470833778381,213.8965606689453,0.23723351162632167,18,5,1
15,220,5,7730.470833778381,213.8965606689453,0.36768261167441724,6,3,0
16,227,5,7975.470833778381,213.8965606689453,0.24021114632298518,9,2,0
16,228,5,8010.470833778381,213.8965606689453,0.203345615286888,3,1,0
11,118,6,4160.470833778381,248.8965606689453,0.5907662910799404,9,3,0
11,119,6,4195.470833778381,248.8965606689453,0.9895410191578968,10,4,1
11,120,6,4230.470833778381,248.8965606689453,0.29944336254951376,13,5,1
11,121,6,4265.470833778381,248.8965606689453,0.4100850347962888,14,4,1
14,214,6,7520.470833778381,248.8965606689453,0.14609689231269274,9,2,0
15,220,6,7730.470833778381,248.8965606689453,0.3875850334859012,13,5,0
15,221,6,7765.470833778381,248.8965606689453,0.41687292553070476,13,5,0
15,223,6,7835.470833778381,248.8965606689453,0.23099270388552343,15,4,0
16,227,6,7975.470833778381,248.8965606689453,0.23276931186810496,8,2,0
16,228,6,8010.470833778381,248.8965606689453,0.42068697699171786,4,1,0
19,108,7,3810.4708337783813,283.8965606689453,0.14877250141594522,3,1,0
11,120,7,4230.470833778381,283.8965606689453,0.1694385859530738,17,6,0
14,214,7,7520.470833778381,283.8965606689453,0.144572310105875,13,3,0
15,220,7,7730.470833778381,283.8965606689453,0.3063626322555551,14,4,1
15,221,7,7765.470833778381,283.8965606689453,0.4618841335913912,15,7,0
15,222,7,7800.470833778381,283.8965606689453,0.19677617422885763,12,4,0
16,228,7,8010.470833778381,283.8965606689453,0.2428286923150669,7,1,1
16,229,7,8045.470833778381,283.8965606689453,0.35442517188951816,3,1,0
19,108,8,3810.4708337783813,318.8965606689453,0.3522768591429303,5,4,0
16,226,8,7940.470833778381,318.8965606689453,0.1746063735832129,14,4,1
16,227,8,7975.470833778381,318.8965606689453,1.056462184602557,5,2,0
16,228,8,8010.470833778381,318.8965606689453,0.40870246875557087,8,3,0
16,229,8,8045.470833778381,318.8965606689453,0.7013973035412252,7,4,1
