dataset,sample_id,TLS_decile,readout,value
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,1,median mregDC score,-0.469825432526049
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,1,median MHC-II score,-1.1819269490223
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,1,mregDC-high fraction,0.00289017341040462
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,1,MHC-II-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,1,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,2,median mregDC score,-0.318852436623047
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,2,median MHC-II score,-0.627649898109857
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,2,mregDC-high fraction,0.00867052023121387
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,2,MHC-II-high fraction,0.023121387283237
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,2,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,3,median mregDC score,-0.131306512543405
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,3,median MHC-II score,-0.0918525771676593
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,3,mregDC-high fraction,0.0317919075144509
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,3,MHC-II-high fraction,0.0289017341040462
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,3,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,4,median mregDC score,-0.0398897190344816
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,4,median MHC-II score,0.133788143093898
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,4,mregDC-high fraction,0.0375722543352601
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,4,MHC-II-high fraction,0.0895953757225434
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,4,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,5,median mregDC score,0.0446091965747346
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,5,median MHC-II score,0.213330284900223
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,5,mregDC-high fraction,0.0520231213872832
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,5,MHC-II-high fraction,0.0953757225433526
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,5,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,6,median mregDC score,0.0888390276849323
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,6,median MHC-II score,0.287232981392921
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,6,mregDC-high fraction,0.104347826086957
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,6,MHC-II-high fraction,0.110144927536232
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,6,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,7,median mregDC score,0.0987630568104127
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,7,median MHC-II score,0.310518423030926
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,7,mregDC-high fraction,0.115942028985507
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,7,MHC-II-high fraction,0.121739130434783
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,7,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,8,median mregDC score,0.133092784393072
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,8,median MHC-II score,0.340561295500483
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,8,mregDC-high fraction,0.156521739130435
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,8,MHC-II-high fraction,0.16231884057971
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,8,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,9,median mregDC score,0.188169750875218
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,9,median MHC-II score,0.36242382869412
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,9,mregDC-high fraction,0.2
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,9,MHC-II-high fraction,0.185507246376812
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,9,TLS/mregDC co-high fraction,0
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10,median mregDC score,0.241398849129298
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10,median MHC-II score,0.384815347141348
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10,mregDC-high fraction,0.292753623188406
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10,MHC-II-high fraction,0.185507246376812
10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,10,TLS/mregDC co-high fraction,0.292753623188406
GSE211956,GSM6506110_SP1,1,median mregDC score,-0.145721411168077
GSE211956,GSM6506110_SP1,1,median MHC-II score,-0.338042997335904
GSE211956,GSM6506110_SP1,1,mregDC-high fraction,0.0510204081632653
GSE211956,GSM6506110_SP1,1,MHC-II-high fraction,0.0204081632653061
GSE211956,GSM6506110_SP1,1,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,2,median mregDC score,-0.0994956336099276
GSE211956,GSM6506110_SP1,2,median MHC-II score,-0.207692379519892
GSE211956,GSM6506110_SP1,2,mregDC-high fraction,0.102040816326531
GSE211956,GSM6506110_SP1,2,MHC-II-high fraction,0.0510204081632653
GSE211956,GSM6506110_SP1,2,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,3,median mregDC score,-0.0707243978213044
GSE211956,GSM6506110_SP1,3,median MHC-II score,-0.223961281017874
GSE211956,GSM6506110_SP1,3,mregDC-high fraction,0.0476190476190476
GSE211956,GSM6506110_SP1,3,MHC-II-high fraction,0.0238095238095238
GSE211956,GSM6506110_SP1,3,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,4,median mregDC score,-0.0713656634506485
GSE211956,GSM6506110_SP1,4,median MHC-II score,-0.228102044513069
GSE211956,GSM6506110_SP1,4,mregDC-high fraction,0.0408163265306122
GSE211956,GSM6506110_SP1,4,MHC-II-high fraction,0.0204081632653061
GSE211956,GSM6506110_SP1,4,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,5,median mregDC score,-0.0534634252912683
GSE211956,GSM6506110_SP1,5,median MHC-II score,-0.145974138969108
GSE211956,GSM6506110_SP1,5,mregDC-high fraction,0.0476190476190476
GSE211956,GSM6506110_SP1,5,MHC-II-high fraction,0.0510204081632653
GSE211956,GSM6506110_SP1,5,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,6,median mregDC score,-0.0535890780215373
GSE211956,GSM6506110_SP1,6,median MHC-II score,-0.133971459668651
GSE211956,GSM6506110_SP1,6,mregDC-high fraction,0.0714285714285714
GSE211956,GSM6506110_SP1,6,MHC-II-high fraction,0.0680272108843538
GSE211956,GSM6506110_SP1,6,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,7,median mregDC score,-0.0657745896265739
GSE211956,GSM6506110_SP1,7,median MHC-II score,-0.0298599924163108
GSE211956,GSM6506110_SP1,7,mregDC-high fraction,0.0612244897959184
GSE211956,GSM6506110_SP1,7,MHC-II-high fraction,0.0952380952380952
GSE211956,GSM6506110_SP1,7,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,8,median mregDC score,-0.063952196537481
GSE211956,GSM6506110_SP1,8,median MHC-II score,0.0692711393807261
GSE211956,GSM6506110_SP1,8,mregDC-high fraction,0.115646258503401
GSE211956,GSM6506110_SP1,8,MHC-II-high fraction,0.112244897959184
GSE211956,GSM6506110_SP1,8,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,9,median mregDC score,-0.0460491489718405
GSE211956,GSM6506110_SP1,9,median MHC-II score,0.114199465608062
GSE211956,GSM6506110_SP1,9,mregDC-high fraction,0.163265306122449
GSE211956,GSM6506110_SP1,9,MHC-II-high fraction,0.159863945578231
GSE211956,GSM6506110_SP1,9,TLS/mregDC co-high fraction,0
GSE211956,GSM6506110_SP1,10,median mregDC score,0.077849030000009
GSE211956,GSM6506110_SP1,10,median MHC-II score,0.504469100952161
GSE211956,GSM6506110_SP1,10,mregDC-high fraction,0.299319727891156
GSE211956,GSM6506110_SP1,10,MHC-II-high fraction,0.397959183673469
GSE211956,GSM6506110_SP1,10,TLS/mregDC co-high fraction,0.299319727891156
GSE211956,GSM6506111_SP2,1,median mregDC score,-0.0903335727066212
GSE211956,GSM6506111_SP2,1,median MHC-II score,-0.349599845476831
GSE211956,GSM6506111_SP2,1,mregDC-high fraction,0.0154639175257732
GSE211956,GSM6506111_SP2,1,MHC-II-high fraction,0
GSE211956,GSM6506111_SP2,1,TLS/mregDC co-high fraction,0
GSE211956,GSM6506111_SP2,2,median mregDC score,-0.112712312886509
GSE211956,GSM6506111_SP2,2,median MHC-II score,-0.213786962552968
GSE211956,GSM6506111_SP2,2,mregDC-high fraction,0.0515463917525773
