"feature","TLS 12-CK","TLS imprint","TLS integrated","mregDC","mregDC/TLS","MHC-II/AP module"
"B lineage | MCPcounter",0.703144714772471,0.939514211051509,0.864240907371608,0.623678026485865,0.719763193840537,0.35830993676621
"ImmuneScore | estimate",0.859271147029257,0.7298847474305,0.833548094141685,0.874980848781982,0.922285821563362,0.789882515924864
"EC | IPS",0.882681256837794,0.715530196654109,0.838768477264691,0.892577003309885,0.916663455530178,0.750870429908283
"ESTIMATEScore | estimate",0.816526553221582,0.755397406655345,0.826555163677021,0.825319312843508,0.862352759116365,0.658437413293648
"TumorPurity | estimate",-0.816526553221582,-0.755397406655345,-0.826555163677021,-0.825319312843508,-0.862352759116365,-0.658437413293648
"CP | IPS",-0.842800945399685,-0.638988982153993,-0.7728181560637,-0.820399337961275,-0.851133459250986,-0.717343753941198
"SC | IPS",-0.790889353279166,-0.6857275104588,-0.772886900073645,-0.834847140141292,-0.84187783357106,-0.674359522613016
"MHC | IPS",0.727876528359678,0.529709897195337,0.656549223331409,0.720304514385224,0.797270677843682,0.837967205353626
"Macrophages | EPIC",0.730248350837367,0.610949749361806,0.702359399232842,0.723844214359236,0.766227054374662,0.649852053497455
"T cells CD8 | quantiseq",0.644421638303412,0.601700740091433,0.659594016038376,0.647636119202051,0.692140257414082,0.529274366513654
"StromalScore | estimate",0.62880993637634,0.6503815292552,0.673873022106902,0.62229204859924,0.644781204462873,0.401217022482047
"NK cells | MCPcounter",0.617499975916476,0.487090266980332,0.57863933860859,0.673672544973578,0.65699472281789,0.547150330887959
"Plasma cells | CIBERSORT",0.35424398263948,0.672204332642038,0.545084114294514,0.320044279162051,0.403809589770525,0.138847725121661
"Myeloid dendritic cells | MCPcounter",0.545378136753723,0.465008219995629,0.528400832449885,0.651254547354604,0.60872712912992,0.474294251526517
"CD8 T cells | MCPcounter",0.601396628907048,0.601173904428711,0.633565287904544,0.577606186592418,0.617232416384122,0.395601007146304
"Macrophages M1 | CIBERSORT",0.627617595671862,0.51217075092575,0.59681015774972,0.569248356140561,0.583718637234588,0.484266648774809
"Tregs | quantiseq",0.4766232617252,0.435498720141891,0.481136027729566,0.613605701273765,0.531007502218088,0.35832631660589
"Bcells | EPIC",0.372052138169911,0.607894340148444,0.519879041369405,0.335005590460181,0.414563680535796,0.186839144801305
"Class-switched memory B-cells | xCell",0.482158918287116,0.606998965381098,0.574015094629591,0.545671490583716,0.544522660777967,0.317734877841207
"Macrophages M1 | quantiseq",0.595413304339481,0.489374952945946,0.568042896998479,0.600873286444903,0.590076517544402,0.432112222823713
"NKcells | EPIC",0.575073237032121,0.476907561501998,0.553360765173236,0.521659295438635,0.576230787513498,0.473208159273869
"T cells CD8 | CIBERSORT",0.494965506568289,0.510490603847713,0.531342528167166,0.467460299468458,0.517348878727658,0.403263374976873
"T cells regulatory (Tregs) | CIBERSORT",0.450223554405438,0.421070561855966,0.459911586277029,0.497832120894862,0.507243096433347,0.514590884103607
"Macrophages M2 | quantiseq",0.334244474045129,0.262403130287778,0.313351689730847,0.498942328707961,0.434521022257337,0.431393685158201
"T cells CD4 memory activated | CIBERSORT",0.469966980651356,0.458319464745981,0.493046818970311,0.448420779370702,0.483421497670631,0.312460944334222
"Plasma cells | xCell",0.264185053220697,0.429039320053132,0.364592663995779,0.142116768003835,0.244320113913215,0.0636196132730938
"Macrophages M2 | CIBERSORT",0.347422028360119,0.286907188823319,0.328492239462313,0.39030648779623,0.385295132030221,0.439180451146188
"ImmuneScore | xCell",0.344140387912753,0.260997202033914,0.317997856836047,0.384027791077236,0.353690256819385,0.266022839681206

