method_label	feature	clean_feature	immune_class	rho	p	n	p_adj	abs_rho
CIBERSORT	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	NA	NA	427	NA	NA
CIBERSORT_ABS	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	NA	NA	427	NA	NA
IPS	EC_IPS	EC	Other	0.882968871910797	0	427	0	0.882968871910797
ESTIMATE	ImmuneScore_estimate	ImmuneScore	Global score	0.858478278896606	0	427	0	0.858478278896606
IPS	CP_IPS	CP	Other	-0.845440807862342	0	427	0	0.845440807862342
CIBERSORT_ABS	Absolute_score_(sig_score)_CIBERSORT	Absolute_score_(sig_score)	Global score	0.842466428819063	3.1675369476172e-116	427	2.45484113440333e-115	0.842466428819063
IPS	SC_IPS	SC	Other	-0.808167990631085	0	427	0	0.808167990631085
IPS	MHC_IPS	MHC	APC/myeloid	0.780541221898574	0	427	0	0.780541221898574
ESTIMATE	ESTIMATEScore_estimate	ESTIMATEScore	Global score	0.7631503745932	0	427	0	0.7631503745932
ESTIMATE	TumorPurity_estimate	TumorPurity	Global score	-0.7631503745932	0	427	0	0.7631503745932
MCPcounter	Cytotoxic_lymphocytes_MCPcounter	Cytotoxic_lymphocytes	Cytotoxic T/NK	0.759042842931651	0	427	0	0.759042842931651
MCPcounter	Monocytic_lineage_MCPcounter	Monocytic_lineage	Other	0.756300480992281	0	427	0	0.756300480992281
xCell	CD4+_Tem_xCell	CD4+_Tem	T cells	0.750268798671173	2.15882739273587e-78	427	1.5934202184479e-77	0.750268798671173
EPIC	Macrophages_EPIC	Macrophages	APC/myeloid	0.746335219837487	0	427	0	0.746335219837487
CIBERSORT_ABS	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	0.715290231000346	3.8840856118309e-68	427	2.73651486288086e-67	0.715290231000346
CIBERSORT_ABS	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	0.698778498904959	8.11745734832098e-64	427	5.47046038691197e-63	0.698778498904959
MCPcounter	NK_cells_MCPcounter	NK_cells	Cytotoxic T/NK	0.691602194752705	0	427	0	0.691602194752705
CIBERSORT_ABS	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	0.633522532142071	2.71244239058247e-49	427	1.75178571058451e-48	0.633522532142071
quanTIseq	Other_quantiseq	Other	Other	-0.62187480636847	0	427	0	0.62187480636847
quanTIseq	T_cells_CD8_quantiseq	T_cells_CD8	Cytotoxic T/NK	0.617685977736914	2.81455154262241e-46	427	1.7450219564259e-45	0.617685977736914
quanTIseq	Tregs_quantiseq	Tregs	T cells	0.604945854672005	5.67405119342883e-44	427	3.38260744223642e-43	0.604945854672005
CIBERSORT_ABS	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_resting	T cells	0.594178322434041	4.18850474479151e-42	427	2.40451198312105e-41	0.594178322434041
MCPcounter	Myeloid_dendritic_cells_MCPcounter	Myeloid_dendritic_cells	APC/myeloid	0.577926267579431	0	427	0	0.577926267579431
quanTIseq	Macrophages_M2_quantiseq	Macrophages_M2	APC/myeloid	0.57115282471603	0	427	0	0.57115282471603
CIBERSORT_ABS	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	0.570246181417731	3.40160336870161e-38	427	1.88303043624553e-37	0.570246181417731
quanTIseq	Macrophages_M1_quantiseq	Macrophages_M1	APC/myeloid	0.553246614015228	1.3191744244145e-35	427	7.05075985462924e-35	0.553246614015228
MCPcounter	CD8_T_cells_MCPcounter	CD8_T_cells	Cytotoxic T/NK	0.549022621023217	5.50470240381643e-35	427	2.84409624197182e-34	0.549022621023217
EPIC	CD8_Tcells_EPIC	CD8_Tcells	Cytotoxic T/NK	-0.543874245935241	0	427	0	0.543874245935241
MCPcounter	B_lineage_MCPcounter	B_lineage	Other	0.537409226309288	0	427	0	0.537409226309288
ESTIMATE	StromalScore_estimate	StromalScore	Stromal	0.525711955199868	0	427	0	0.525711955199868
xCell	Class-switched_memory_B-cells_xCell	Class-switched_memory_B-cells	B/plasma	0.514480103778283	3.15024054494351e-30	427	1.57512027247175e-29	0.514480103778283
CIBERSORT_ABS	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	0.513070559058606	4.79865512594904e-30	427	2.32434857663157e-29	0.513070559058606
EPIC	NKcells_EPIC	NKcells	Cytotoxic T/NK	0.508380757965905	0	427	0	0.508380757965905
CIBERSORT_ABS	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	0.430132498462447	1.17199965039115e-20	427	5.50484684274629e-20	0.430132498462447
CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	0.416802867296864	2.24838492040369e-19	427	1.02499900783109e-18	0.416802867296864
CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	0.405214761940537	2.64019448025117e-18	427	1.16922898411123e-17	0.405214761940537
EPIC	otherCells_EPIC	otherCells	Other	-0.400233328883983	0	427	0	0.400233328883983
xCell	ImmuneScore_xCell	ImmuneScore	Global score	0.394823606678512	2.21826124074333e-17	427	9.55084700875601e-17	0.394823606678512
xCell	MicroenvironmentScore_xCell	MicroenvironmentScore	Global score	0.38475482895843	2.93887221501087e-17	427	1.2311491711532e-16	0.38475482895843
CIBERSORT_ABS	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	0.383671254958573	2.00659851545965e-16	427	8.18480973411174e-16	0.383671254958573
xCell	CD4+_Tcm_xCell	CD4+_Tcm	T cells	0.356344312669963	3.13613400666423e-14	427	1.24641223341783e-13	0.356344312669963
CIBERSORT_ABS	P-value_CIBERSORT	P-value	Other	-0.347389821870674	1.48187966980299e-13	427	5.74228372048658e-13	0.347389821870674
CIBERSORT	RMSE_CIBERSORT	RMSE	Other	-0.345964711202715	2.57829196897417e-13	427	9.51512512359514e-13	0.345964711202715
CIBERSORT_ABS	RMSE_CIBERSORT	RMSE	Other	-0.345964711202715	2.57829196897417e-13	427	9.51512512359514e-13	0.345964711202715
CIBERSORT	P-value_CIBERSORT	P-value	Other	-0.334755168573375	1.22027779456361e-12	427	4.3986757711014e-12	0.334755168573375
CIBERSORT	Correlation_CIBERSORT	Correlation	Other	0.33154912314395	2.75016949294173e-12	427	9.47280603124373e-12	0.33154912314395
CIBERSORT_ABS	Correlation_CIBERSORT	Correlation	Other	0.33154912314395	2.75016949294173e-12	427	9.47280603124373e-12	0.33154912314395
CIBERSORT_ABS	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	0.31034624301324	5.49822984195613e-11	427	1.85266440326783e-10	0.31034624301324
CIBERSORT_ABS	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	0.300538964764089	2.30861820202881e-10	427	7.61352811307375e-10	0.300538964764089
