"feature","TLS 12-CK","TLS imprint","TLS integrated","mregDC/TLS","MHC-II/AP module"
"SPI1",-0.573524031393488,-0.456719735935627,-0.515121883664557,-0.564934839367355,-0.700595784363016
"IRF4",-0.510161211609247,-0.609391137627346,-0.559776174618296,-0.493010478456667,-0.381342228928422
"IRF8",-0.507339922734689,-0.433755810598129,-0.470547866666409,-0.485661119520815,-0.503532577904947
"IRF1",-0.435420519674383,-0.276608861442717,-0.35601469055855,-0.434746747133594,-0.614236098400421
"TNFAIP3",-0.377294442212854,-0.256926524471858,-0.317110483342356,-0.351836356253719,-0.370138971486325
"BATF3",-0.359248416750967,-0.297911555012736,-0.328579985881852,-0.328479074285788,-0.338301018745629
"STAT1",-0.369342476719412,-0.233552464855017,-0.301447470787214,-0.297950839627853,-0.256169531904825
"NFKB1",-0.30566186046637,-0.181834977157424,-0.243748418811897,-0.305898131409453,-0.389654646460336
"NFKBIA",-0.311499391656648,-0.184324070940175,-0.247911731298411,-0.292757995529684,-0.371147207688032
"CEBPB",-0.248477687339898,-0.226555253449779,-0.237516470394838,-0.259525663861451,-0.325830261602083
"XBP1",-0.240041756377198,-0.256139323054084,-0.248090539715641,-0.225865070214345,-0.213953844540811
"RELB",-0.252662036715634,-0.178083438972782,-0.215372737844208,-0.237734508996617,-0.254015914201654
"STAT3",-0.213555346181253,-0.198091156176723,-0.205823251178988,-0.231054483786623,-0.245990224062887
"RUNX3",-0.20207363909172,-0.183574234822502,-0.192823936957111,-0.214559674625946,-0.258091515430273
"NFKB2",-0.188345580725699,-0.113446425707995,-0.150896003216847,-0.193482563516575,-0.239706872600364
"RELA",-0.131525708563091,-0.0310067448762164,-0.0812662267196536,-0.143252029087863,-0.257853744049941
"FOS",-0.129186635015054,-0.0582136431558938,-0.0937001390854737,-0.115968529462673,-0.166850492354716
"JUN",0.0744345381596228,0.0914305228927182,0.0829325305261705,0.0687087765640298,0.0676215695510213
"BCL6",0.000863959113374916,0.0301500310863748,0.0155069950998749,-0.0655292542104242,-0.172852715070713

