perturbed_TF	IF_core_mean_delta	antigen_presentation_proxy_delta	global_delta_rms
IRF8	-0.09032545840326951	-0.102114731134428	0.024538981805907932
SPI1	-0.04793972995551929	-0.07391222669961689	0.02803734577107702
STAT1	-0.029715046063669218	-0.03862784408848191	0.010484273192738036
IRF1	-0.013662980833494417	-0.020984264909596245	0.010172651174083346
NFKB1	-0.012917362097089278	-0.005364441910964786	0.003956039953808719
CEBPB	-0.010285906171078331	0.004828965380569479	0.02444053429395315
NFKB2	-0.0012232127535619017	-0.0051018601473133045	0.0075496783439294776
IRF4	3.2818427443402786e-05	-1.1788926737457366e-05	0.00016196566864555123
STAT3	0.00017694246781935902	0.007138589009489017	0.02631770735710163
RELB	0.0002639433441507387	0.0009623559501120166	0.002000375718557324
BATF3	0.0003886809947207709	-0.000391707743377308	0.0007013938521090425
RELA	0.0005351105787367776	0.0003575346122863648	0.005768383561596779
