gene	D_KL	log.p.vals	log.p.adj
MYH11	1.17547365235391	-273.681371515374	-270.505280256318
EEF1G	0.215268692235284	-273.170159664103	-269.994068405048
H19	0.368212281483616	-254.303683420161	-251.127592161105
LAPTM4B	0.310516215862746	-250.201029037394	-247.024937778338
YWHAZ	0.274247317813787	-244.210047743906	-241.03395648485
APP	0.200181829067343	-237.254820856217	-234.078729597161
NORAD	0.215565115254348	-237.144296915683	-233.968205656628
HNRNPD	0.22822692072283	-237.012138970714	-233.836047711658
PKM	0.242425047569493	-234.546440333482	-231.370349074426
CD47	0.285322777608606	-232.586495851492	-229.410404592436
HSPD1	0.260392519802464	-231.154272155837	-227.978180896782
EIF4A1	0.225518561895197	-230.296026733568	-227.119935474513
HNRNPA1L2	0.210361912347908	-229.089846211812	-225.913754952756
PRKCI	0.26559770636404	-225.120799880814	-221.944708621758
LDHA	0.25572313367544	-223.010404314973	-219.834313055918
C11orf96	0.699258026321524	-222.561349589855	-219.385258330799
FBL	0.22360657658213	-221.423785425176	-218.24769416612
AHCY	0.253314470464054	-221.051676284025	-217.875585024969
EIF4G1	0.238107600274991	-217.683730274423	-214.507639015368
PTGES3	0.240752161646325	-217.512487130382	-214.336395871326
CNN1	0.854854586141661	-216.266712073216	-213.090620814161
HSPA8	0.221427593562302	-215.618382404455	-212.442291145399
CP	0.303456554254645	-215.423124922632	-212.247033663577
AP2M1	0.237781562871882	-215.218344730015	-212.042253470959
ATP5F1A	0.24212393733694	-215.144227214768	-211.968135955712
CBX3	0.223354057746964	-214.941258292219	-211.765167033163
UCHL1	0.326603019008923	-213.812378032309	-210.636286773253
HNRNPH1	0.179383841437255	-212.440690840094	-209.264599581038
CTNNB1	0.206892502600465	-209.851661954793	-206.675570695738
TUBB	0.190077235965187	-209.446144835914	-206.270053576859
RAC1	0.172048311458695	-208.863712945184	-205.687621686129
CDV3	0.248200829145718	-208.82597003493	-205.649878775875
HMGA1	0.295313190684444	-208.770993149757	-205.594901890701
IMPDH2	0.213425904934871	-207.679828040785	-204.50373678173
PLXNB1	0.213820685629363	-206.510376522401	-203.334285263345
EPCAM	0.275897127261845	-206.03165334967	-202.855562090614
HNRNPM	0.200563463262068	-205.499334909605	-202.323243650549
HSPE1	0.247670882878306	-205.471432873518	-202.295341614462
SRSF1	0.19977994954946	-205.157406170036	-201.98131491098
CCT8	0.236361713366832	-204.912843211696	-201.736751952641
EIF3C	0.165646483829036	-204.620352749609	-201.444261490554
SOD1	0.213477376825209	-202.537689760301	-199.361598501245
NDRG1	0.387723766424825	-201.861062360432	-198.684971101376
RPN1	0.234805237384656	-201.788829359539	-198.612738100484
RAB7A	0.239857549654719	-197.310828794043	-194.134737534987
IGFBP2	0.281703158708687	-197.090619383675	-193.914528124619
SOX2-OT	0.135626259852904	-196.575590797076	-193.399499538021
RAN	0.211282009103874	-195.55915179087	-192.383060531814
IRAK1	0.225421575203161	-194.247854914041	-191.071763654986
MLF1	0.299130423983265	-194.16872635939	-190.992635100335
TP53	0.269210834581621	-194.085218589774	-190.909127330719
CCT3	0.18982960018176	-193.992262415756	-190.8161711567
TKT	0.237902716842411	-193.964803545787	-190.788712286732
CSNK2A1	0.225748007327899	-193.532935888885	-190.35684462983
TMEM123	0.242202337365429	-193.515719333678	-190.339628074622
TOP2B	0.229321947621183	-193.081215064842	-189.905123805787
LCN2	0.394520206001983	-192.059992542953	-188.883901283897
DNAJA1	0.245526995157742	-191.684131798085	-188.50804053903
ESR1	0.188776527072962	-190.861090517024	-187.684999257968
MUC16	0.286300878477734	-190.678200814131	-187.502109555076
SULF1	0.245322391467129	-190.455728680343	-187.279637421287
RHOA	0.169734270431633	-189.815905880346	-186.63981462129
DSG2	0.286686364143489	-188.941669453813	-185.765578194757
SMARCC1	0.206231849849928	-188.853566066596	-185.67747480754
AMOTL2	0.235346888925661	-188.531307443781	-185.355216184725
EIF5A	0.234164457656494	-188.233603561954	-185.057512302898
XPO1	0.208839287850093	-188.069925599763	-184.893834340707
TFRC	0.313593735160391	-187.688440981781	-184.512349722725
IL1RAP	0.329837322255979	-187.525524865306	-184.34943360625
PVT1	0.221391650108647	-187.332461470487	-184.156370211431
IFT57	0.265896876019497	-186.815913457313	-183.639822198257
SPIN1	0.200407974352092	-186.66483409525	-183.488742836194
GANAB	0.199090860171643	-186.627044533819	-183.450953274763
KPNB1	0.213418502561625	-185.894737820181	-182.718646561126
SFPQ	0.169096384086307	-185.859980365485	-182.683889106429
HSPA9	0.190623457227793	-185.807925334856	-182.6318340758
ALCAM	0.351141051298027	-185.135652479779	-181.959561220723
C1QBP	0.237048135401771	-184.839154808923	-181.663063549868
SMC4	0.315484727193535	-184.553509090517	-181.377417831462
ELAVL1	0.230502617010552	-183.619327128666	-180.443235869611
SLC2A4RG	0.242955508854122	-183.493341657845	-180.317250398789
PLXNB2	0.171968063611065	-183.197853862758	-180.021762603703
CLTC	0.181504310315173	-183.103167694767	-179.927076435711
LAMP1	0.17775211980351	-182.994318516742	-179.818227257686
BCAM	0.223933839084781	-182.730617890708	-179.554526631652
H3F3B	0.0869734757818855	-182.588016824245	-179.411925565189
PABPC1L	0.227432734725886	-182.420221345248	-179.244130086192
CCT5	0.241024936319321	-182.254999017598	-179.078907758543
ATP1A1	0.202856794802738	-181.612334112496	-178.43624285344
GMPS	0.247287503000542	-181.556383196544	-178.380291937488
STAU1	0.211412781894851	-181.419027782088	-178.242936523032
NONO	0.181955706763168	-181.33073123775	-178.154639978694
PARK7	0.203877275033281	-181.244335642176	-178.06824438312
ADAMTS1	0.193234224943401	-181.141700937991	-177.965609678935
ATF4	0.160655368206186	-180.730505366995	-177.554414107939
APEX1	0.2315532785395	-180.672680808502	-177.496589549447
