Gene	C	Z	Pval	FDR
MYH11	0.37308602551075615	4505.025457592933	0.0	0.0
CNN1	0.23725995022602067	2025.2042783318366	0.0	0.0
C11orf96	0.234994184747215	1612.9254566806103	0.0	0.0
C7	0.17037797929786452	1241.8510882530095	0.0	0.0
NAMPT	0.15611570429446153	580.4167687696345	0.0	0.0
SOX2-OT	0.19760919738483096	553.5062192681464	0.0	0.0
SOCS3	0.15712290135103119	531.7054207314253	0.0	0.0
AQP1	0.10027018422002718	520.9061377094223	0.0	0.0
CDKN1A	0.129947307408469	511.72344966201035	0.0	0.0
DCN	0.1483340594731391	487.58698537094625	0.0	0.0
MYL9	0.1759267762951321	474.53418868024994	0.0	0.0
SFRP4	0.11635143909345178	465.28745057860795	0.0	0.0
NR4A1	0.1290509140598063	459.5593960032314	0.0	0.0
TIMP3	0.18629984588979434	439.8487105204636	0.0	0.0
C1QC	0.09195450481679077	420.6305766790575	0.0	0.0
MYLK	0.1290404037730318	417.4486117895645	0.0	0.0
PLPP3	0.11952055419482396	370.21315687178253	0.0	0.0
CSRP1	0.1139532083884318	357.77646907112194	0.0	0.0
POSTN	0.1608024345904426	354.26618406282626	0.0	0.0
CCN1	0.12269720526370556	349.84487532271055	0.0	0.0
H19	0.4736507902000235	348.8755445414628	0.0	0.0
EEF1G	0.3183182354914371	342.5380350124136	0.0	0.0
BGN	0.20325677601055392	306.4001217942956	0.0	0.0
LUM	0.16838516221685787	282.06969317961597	0.0	0.0
MX1	0.26565163409165476	265.9348905152416	0.0	0.0
IL7R	0.048456336358564465	244.95552945545825	0.0	0.0
MS4A6A	0.06531900713543405	238.9167780637498	0.0	0.0
TRAC	0.04604354390693652	235.19535468400102	0.0	0.0
THBS1	0.10088937172915495	226.8266843068932	0.0	0.0
ATF3	0.07371511682038195	215.02552737214512	0.0	0.0
EPAS1	0.0778968970733783	214.36037296625258	0.0	0.0
CD52	0.04510845716944058	207.28769720880052	0.0	0.0
C4A	0.07155055702657628	206.01882093255833	0.0	0.0
CXCL10	0.2454500867138039	191.53436461085943	0.0	0.0
IL6	0.05328443734832852	178.023223628269	0.0	0.0
ADAMTS1	0.11624364285966	177.60824695493733	0.0	0.0
CCN2	0.08742273405096895	177.48797576314192	0.0	0.0
CTHRC1	0.13522399708199634	173.17523677956387	0.0	0.0
NDRG1	0.2217331950296617	171.4300491496962	0.0	0.0
FCGR2A	0.04941469260383668	170.68112982384477	0.0	0.0
C4B	0.06359822924160145	170.48601400466694	0.0	0.0
CD8A	0.028732257564452166	157.53898519870882	0.0	0.0
AIF1	0.050734886825049334	155.86029458176918	0.0	0.0
H3F3B	0.08931004821323915	154.75474364727225	0.0	0.0
CXCL9	0.05089215804392317	148.95351286924998	0.0	0.0
COL4A1	0.1008829253726644	148.46966923013895	0.0	0.0
SLC40A1	0.07221276064253984	148.31040906955192	0.0	0.0
THY1	0.10279790038675175	145.1734347175919	0.0	0.0
MMP14	0.11315101073408275	143.13335261597157	0.0	0.0
COL5A1	0.1208675151301123	141.86075846463103	0.0	0.0
CD47	0.21441433937962914	138.51787810342378	0.0	0.0
COL11A1	0.11577856073989941	136.00657908618555	0.0	0.0
COL5A2	0.1036136101079881	135.20113442428266	0.0	0.0
ITGA7	0.053855539808314014	132.79059644633548	0.0	0.0
SLC2A1	0.15100524198820336	132.22018277051635	0.0	0.0
PIM1	0.05444033432254335	131.15081403554055	0.0	0.0
CXCL12	0.06711527018401289	130.15294343086902	0.0	0.0
LDHA	0.12749607530297954	127.696948029252	0.0	0.0
LCN2	0.18377907427549714	125.07728522789942	0.0	0.0
LAPTM4B	0.18949269425128373	123.27803589964172	0.0	0.0
VEGFA	0.15333776274110839	121.13972399007268	0.0	0.0
TFPI2	0.15228749714173112	117.48133942746915	0.0	0.0
PDGFRB	0.046869466095996494	110.14250353700949	0.0	0.0
AEBP1	0.05734465794174262	109.40999219197714	0.0	0.0
COL4A2	0.06241776992265093	105.91881186967973	0.0	0.0
CP	0.15941326222949226	104.21404095618408	0.0	0.0
CXCL11	0.07054239827452383	104.13207465456071	0.0	0.0
CCDC80	0.0527390228337728	102.53681602675825	0.0	0.0
CCND2	0.04145101272261371	102.24474403409641	0.0	0.0
CXCR4	0.045490710445688524	97.77259451197823	0.0	0.0
NBL1	0.054010279041890666	96.88250918373862	0.0	0.0
SLC2A3	0.03912880520977638	96.11236848183209	0.0	0.0
YWHAZ	0.12197432148601756	95.34501056920877	0.0	0.0
CDH11	0.06639203145666787	95.04015903834872	0.0	0.0
CTSK	0.04508723628908788	93.1613539013067	0.0	0.0
DST	0.04262754633558961	90.86347225217321	0.0	0.0
LOXL1	0.07292485543887209	90.24128866860191	0.0	0.0
GBP1	0.08168667958629092	89.17589994338677	0.0	0.0
PLAU	0.06989709178563366	87.1187843690976	0.0	0.0
MEG3	0.03348421664548244	86.67237886256484	0.0	0.0
DSC3	0.07491345307562734	86.1854940022447	0.0	0.0
ZEB2	0.03237026561085132	84.57261246260654	0.0	0.0
