dataset,dataset_label,sample_id,sample_short,marker,available,row_id
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,HLA-DRA,TRUE,10x Visium | 10x Visium
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,LAMP3,TRUE,10x Visium | 10x Visium
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,CCR7,TRUE,10x Visium | 10x Visium
GSE211956,GSE211956,GSM6506110_SP1,SP1,HLA-DRA,TRUE,GSE211956 | SP1
GSE211956,GSE211956,GSM6506110_SP1,SP1,LAMP3,TRUE,GSE211956 | SP1
GSE211956,GSE211956,GSM6506110_SP1,SP1,CCR7,TRUE,GSE211956 | SP1
GSE211956,GSE211956,GSM6506111_SP2,SP2,HLA-DRA,TRUE,GSE211956 | SP2
GSE211956,GSE211956,GSM6506111_SP2,SP2,LAMP3,TRUE,GSE211956 | SP2
GSE211956,GSE211956,GSM6506111_SP2,SP2,CCR7,TRUE,GSE211956 | SP2
GSE211956,GSE211956,GSM6506112_SP3,SP3,HLA-DRA,TRUE,GSE211956 | SP3
GSE211956,GSE211956,GSM6506112_SP3,SP3,LAMP3,TRUE,GSE211956 | SP3
GSE211956,GSE211956,GSM6506112_SP3,SP3,CCR7,TRUE,GSE211956 | SP3
GSE211956,GSE211956,GSM6506113_SP4,SP4,HLA-DRA,TRUE,GSE211956 | SP4
GSE211956,GSE211956,GSM6506113_SP4,SP4,LAMP3,TRUE,GSE211956 | SP4
GSE211956,GSE211956,GSM6506113_SP4,SP4,CCR7,TRUE,GSE211956 | SP4
GSE211956,GSE211956,GSM6506114_SP5,SP5,HLA-DRA,TRUE,GSE211956 | SP5
GSE211956,GSE211956,GSM6506114_SP5,SP5,LAMP3,TRUE,GSE211956 | SP5
GSE211956,GSE211956,GSM6506114_SP5,SP5,CCR7,TRUE,GSE211956 | SP5
GSE211956,GSE211956,GSM6506115_SP6,SP6,HLA-DRA,TRUE,GSE211956 | SP6
GSE211956,GSE211956,GSM6506115_SP6,SP6,LAMP3,TRUE,GSE211956 | SP6
GSE211956,GSE211956,GSM6506115_SP6,SP6,CCR7,TRUE,GSE211956 | SP6
GSE211956,GSE211956,GSM6506116_SP7,SP7,HLA-DRA,TRUE,GSE211956 | SP7
GSE211956,GSE211956,GSM6506116_SP7,SP7,LAMP3,TRUE,GSE211956 | SP7
GSE211956,GSE211956,GSM6506116_SP7,SP7,CCR7,TRUE,GSE211956 | SP7
GSE211956,GSE211956,GSM6506117_SP8,SP8,HLA-DRA,TRUE,GSE211956 | SP8
GSE211956,GSE211956,GSM6506117_SP8,SP8,LAMP3,TRUE,GSE211956 | SP8
GSE211956,GSE211956,GSM6506117_SP8,SP8,CCR7,TRUE,GSE211956 | SP8
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,HLA-DRA,TRUE,GSE224335 | OCCR2v
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,LAMP3,TRUE,GSE224335 | OCCR2v
GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,CCR7,TRUE,GSE224335 | OCCR2v
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,HLA-DRA,TRUE,GSE224335 | OCCS3v
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,LAMP3,TRUE,GSE224335 | OCCS3v
GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,CCR7,TRUE,GSE224335 | OCCS3v
