dataset,dataset_label,sample_id,sample_short,n_spots,metric,value
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,mregDC~TLS integrated,0.580255016410131
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,mregDC~TLS 12CK,0.618401415393369
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,mregDC~TLS imprint,0.472301173307824
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,mregDC~antigen-presentation/MHC-II,0.630793435390549
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,TLS~antigen-presentation/MHC-II,0.58148818778082
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,TLS/mregDC co-high O/E,2.91485682782585
GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,mregDC~TLS integrated,0.183469719319957
GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,mregDC~TLS 12CK,0.200039826235138
GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,mregDC~TLS imprint,0.155570416732393
GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,mregDC~antigen-presentation/MHC-II,0.180477885887525
GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,TLS~antigen-presentation/MHC-II,0.389461960049996
GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,TLS/mregDC co-high O/E,2.99319727891156
GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,mregDC~TLS integrated,0.254849704631837
GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,mregDC~TLS 12CK,0.30841457568835
GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,mregDC~TLS imprint,0.137957132466697
GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,mregDC~antigen-presentation/MHC-II,0.178731482161924
GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,TLS~antigen-presentation/MHC-II,0.414065397796713
GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,TLS/mregDC co-high O/E,2.62209055159953
