compound	target_class	mean_priority	target_evidence	program_reversal	docking_support	clinical	target direct	virtual screen	risk reversal	TLS suppression	axis suppression	IF suppression	AP suppression	docking
Baricitinib	JAK inhibitor	1.15980766786648	0.803154767718444	1.29324877932234	1.56256081103126	0.795379851379968	0.288675134594813	1.32540931718055	1.28494381848433	1.28292300605419	1.32915774642806	1.32568875321715	1.24353057242798	1.56256081103126
Ruxolitinib	JAK inhibitor	1.15916844108522	0.803154767718444	1.29324877932234	1.55680776999991	0.795379851379968	0.288675134594813	1.32540931718055	1.28494381848433	1.28292300605419	1.32915774642806	1.32568875321715	1.24353057242798	1.55680776999991
Fedratinib	JAK inhibitor	0.924920881515615	0.803154767718444	1.29324877932234	-0.551420266126508	0.795379851379968	0.288675134594813	1.32540931718055	1.28494381848433	1.28292300605419	1.32915774642806	1.32568875321715	1.24353057242798	-0.551420266126508
Tofacitinib	JAK inhibitor	0.924920881515615	0.803154767718444	1.29324877932234	-0.551420266126508	0.795379851379968	0.288675134594813	1.32540931718055	1.28494381848433	1.28292300605419	1.32915774642806	1.32568875321715	1.24353057242798	-0.551420266126508
Napabucasin	STAT3-axis	-0.317423098165488	0.157583431791139	-0.555627582547261	-0.551420266126508	-0.568128465271406	1.44337567297406	-0.402496912329236	-0.00958707832730161	0.000369975279916314	-0.281786972873561	-1.0712192029013	-1.41591463391406	-0.551420266126508
Stattic	STAT3-axis	-0.409193082588938	-0.117726521479208	-0.555627582547261	-0.551420266126508	-1.24988262359709	1.44337567297406	-0.546672613814594	-0.00958707832730161	0.000369975279916314	-0.281786972873561	-1.0712192029013	-1.41591463391406	-0.551420266126508
Carfilzomib	Proteasome	-0.24232930143317	-0.206225142425714	-0.681140419945758	1.8434138141074	0.795379851379968	-0.866025403784439	-0.548029874872672	-0.882531672692632	-0.884914822384931	-0.809775800929375	-0.507943580428576	-0.320536223293276	1.8434138141074
Bortezomib	Proteasome	-0.508421977014716	-0.206225142425714	-0.681140419945758	-0.551420266126508	0.795379851379968	-0.866025403784439	-0.548029874872672	-0.882531672692632	-0.884914822384931	-0.809775800929375	-0.507943580428576	-0.320536223293276	-0.551420266126508
Ixazomib	Proteasome	-0.508421977014716	-0.206225142425714	-0.681140419945758	-0.551420266126508	0.795379851379968	-0.866025403784439	-0.548029874872672	-0.882531672692632	-0.884914822384931	-0.809775800929375	-0.507943580428576	-0.320536223293276	-0.551420266126508
BMS-345541	IKK/NF-kB	-0.62829928770162	-0.565857074486429	-0.681140419945758	-0.551420266126508	-1.24988262359709	0.288675134594813	-0.736363734457009	-0.882531672692632	-0.884914822384931	-0.809775800929375	-0.507943580428576	-0.320536223293276	-0.551420266126508
TPCA-1	IKK/NF-kB	-0.62829928770162	-0.565857074486429	-0.681140419945758	-0.551420266126508	-1.24988262359709	0.288675134594813	-0.736363734457009	-0.882531672692632	-0.884914822384931	-0.809775800929375	-0.507943580428576	-0.320536223293276	-0.551420266126508
Curcumin	Polyphenol	-0.926429860362658	-1.50208640493571	-0.656037852466057	-0.551420266126508	-1.24988262359709	-2.02072594216369	-1.23565064904635	-0.707942753819566	-0.707857862851946	-0.704178035318221	-0.620598704923121	-0.539611905417432	-0.551420266126508
