table_role,dataset_accession_or_id,dataset_label,sample_accession_or_id,sample_short,n_spots_or_cells,platform_or_assay,software_or_analysis_version,dataset_url,sample_url,notes
multi_sample_spatial_23_sample_analysis,10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x Visium,3455,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.10xgenomics.com/datasets/human-ovarian-cancer-1-standard,https://www.10xgenomics.com/datasets/human-ovarian-cancer-1-standard,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506110_SP1,SP1,2940,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506110_SP1,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506111_SP2,SP2,1935,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506111_SP2,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506112_SP3,SP3,1504,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506112_SP3,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506113_SP4,SP4,3007,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506113_SP4,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506114_SP5,SP5,2124,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506114_SP5,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506115_SP6,SP6,1801,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506115_SP6,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506116_SP7,SP7,3632,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506116_SP7,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE211956,GSE211956,GSM6506117_SP8,SP8,3180,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6506117_SP8,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE224335,GSE224335,GSM7019835_OCCR2v,OCCR2v,1514,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7019835_OCCR2v,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE224335,GSE224335,GSM7019836_OCCS3v,OCCS3v,898,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224335,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7019836_OCCS3v,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE274657,GSE274657,GSM8454234_Patient_2,Patient_2,1534,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274657,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8454234_Patient_2,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE274657,GSE274657,GSM8454235_Patient_8,Patient_8,4116,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274657,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8454235_Patient_8,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE274657,GSE274657,GSM8454236_Patient_16,Patient_16,4592,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274657,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8454236_Patient_16,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE274657,GSE274657,GSM8454237_Patient_17,Patient_17,4992,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274657,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8454237_Patient_17,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE288483,GSE288483,GSM8768679_Pt1-1,Pt1-1,1534,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288483,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8768679_Pt1-1,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE288483,GSE288483,GSM8768680_Pt1-2,Pt1-2,1131,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288483,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8768680_Pt1-2,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
multi_sample_spatial_23_sample_analysis,GSE288483,GSE288483,GSM8768681_Pt1-3,Pt1-3,2002,public ovarian spatial transcriptomics,harmonized downstream scoring in this study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288483,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8768681_Pt1-3,"Included in the 23-sample, 56,546-spot multi-sample spatial support analysis."
