dataset,dataset_label,sample_id,sample_short,marker,available,evidence_source,nonmissing_spots_or_cells,positive_spots_or_cells,note
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,ITGAX,True,coverage_table+spot_expression_column,3455.0,2664.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,CD11C,False,coverage_table+spot_expression_column,0.0,0.0,CD11C is represented by ITGAX where gene-symbol-level expression was used.
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DRA,True,coverage_table+spot_expression_column,3455.0,3454.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DRB1,True,coverage_table+spot_expression_column,0.0,0.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DRB5,True,coverage_table+spot_expression_column,0.0,0.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DQA1,True,coverage_table+spot_expression_column,0.0,0.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DQB1,True,coverage_table+spot_expression_column,0.0,0.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DPA1,True,coverage_table+spot_expression_column,0.0,0.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,HLA-DPB1,True,coverage_table+spot_expression_column,0.0,0.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,CD74,True,coverage_table+spot_expression_column,3455.0,3455.0,
10x_human_ovarian_cancer_ffpe_visium,10x Visium,10x_human_ovarian_cancer_ffpe_visium,10x_human_ovarian_cancer_ffpe_visium,B2M,True,coverage_table+spot_expression_column,0.0,0.0,
