dataset_label,marker,n_samples,n_available,availability_fraction
10x Visium,B2M,1,1,1.0
10x Visium,CCR7,1,1,1.0
10x Visium,CD11C,1,0,0.0
10x Visium,CD274,1,1,1.0
10x Visium,CD40,1,1,1.0
10x Visium,CD74,1,1,1.0
10x Visium,CD80,1,1,1.0
10x Visium,CD86,1,1,1.0
10x Visium,CIITA,1,1,1.0
10x Visium,HLA-DPA1,1,1,1.0
10x Visium,HLA-DPB1,1,1,1.0
10x Visium,HLA-DQA1,1,1,1.0
10x Visium,HLA-DQB1,1,1,1.0
10x Visium,HLA-DRA,1,1,1.0
10x Visium,HLA-DRB1,1,1,1.0
10x Visium,HLA-DRB5,1,1,1.0
10x Visium,ITGAX,1,1,1.0
10x Visium,LAMP3,1,1,1.0
10x Visium,NLRC5,1,0,0.0
10x Visium,PDCD1LG2,1,1,1.0
GSE211956,B2M,8,8,1.0
GSE211956,CCR7,8,8,1.0
GSE211956,CD11C,8,0,0.0
GSE211956,CD274,8,8,1.0
GSE211956,CD40,8,8,1.0
GSE211956,CD74,8,8,1.0
GSE211956,CD80,8,8,1.0
GSE211956,CD86,8,8,1.0
GSE211956,CIITA,8,8,1.0
GSE211956,HLA-DPA1,8,8,1.0
GSE211956,HLA-DPB1,8,8,1.0
GSE211956,HLA-DQA1,8,8,1.0
GSE211956,HLA-DQB1,8,8,1.0
GSE211956,HLA-DRA,8,8,1.0
GSE211956,HLA-DRB1,8,8,1.0
GSE211956,HLA-DRB5,8,8,1.0
GSE211956,ITGAX,8,8,1.0
GSE211956,LAMP3,8,8,1.0
GSE211956,NLRC5,8,0,0.0
GSE211956,PDCD1LG2,8,8,1.0
GSE224335,B2M,2,2,1.0
GSE224335,CCR7,2,2,1.0
GSE224335,CD11C,2,0,0.0
GSE224335,CD274,2,2,1.0
GSE224335,CD40,2,2,1.0
GSE224335,CD74,2,2,1.0
GSE224335,CD80,2,2,1.0
GSE224335,CD86,2,2,1.0
GSE224335,CIITA,2,2,1.0
GSE224335,HLA-DPA1,2,2,1.0
GSE224335,HLA-DPB1,2,2,1.0
GSE224335,HLA-DQA1,2,2,1.0
GSE224335,HLA-DQB1,2,2,1.0
GSE224335,HLA-DRA,2,2,1.0
GSE224335,HLA-DRB1,2,2,1.0
GSE224335,HLA-DRB5,2,2,1.0
GSE224335,ITGAX,2,2,1.0
GSE224335,LAMP3,2,2,1.0
GSE224335,NLRC5,2,0,0.0
GSE224335,PDCD1LG2,2,2,1.0
GSE274657,B2M,4,4,1.0
GSE274657,CCR7,4,4,1.0
GSE274657,CD11C,4,0,0.0
GSE274657,CD274,4,4,1.0
GSE274657,CD40,4,4,1.0
GSE274657,CD74,4,4,1.0
GSE274657,CD80,4,4,1.0
GSE274657,CD86,4,4,1.0
GSE274657,CIITA,4,4,1.0
GSE274657,HLA-DPA1,4,0,0.0
GSE274657,HLA-DPB1,4,0,0.0
GSE274657,HLA-DQA1,4,0,0.0
GSE274657,HLA-DQB1,4,0,0.0
GSE274657,HLA-DRA,4,0,0.0
GSE274657,HLA-DRB1,4,0,0.0
GSE274657,HLA-DRB5,4,0,0.0
GSE274657,ITGAX,4,4,1.0
GSE274657,LAMP3,4,4,1.0
GSE274657,NLRC5,4,0,0.0
GSE274657,PDCD1LG2,4,4,1.0
GSE288483,B2M,8,8,1.0
GSE288483,CCR7,8,8,1.0
GSE288483,CD11C,8,0,0.0
GSE288483,CD274,8,8,1.0
GSE288483,CD40,8,8,1.0
GSE288483,CD74,8,8,1.0
GSE288483,CD80,8,8,1.0
GSE288483,CD86,8,8,1.0
GSE288483,CIITA,8,8,1.0
GSE288483,HLA-DPA1,8,8,1.0
GSE288483,HLA-DPB1,8,8,1.0
GSE288483,HLA-DQA1,8,8,1.0
GSE288483,HLA-DQB1,8,8,1.0
GSE288483,HLA-DRA,8,8,1.0
GSE288483,HLA-DRB1,8,8,1.0
GSE288483,HLA-DRB5,8,8,1.0
GSE288483,ITGAX,8,8,1.0
GSE288483,LAMP3,8,8,1.0
GSE288483,NLRC5,8,0,0.0
GSE288483,PDCD1LG2,8,8,1.0
Xenium,B2M,1,0,0.0
Xenium,CCR7,1,1,1.0
Xenium,CD11C,1,0,0.0
Xenium,CD274,1,1,1.0
Xenium,CD40,1,1,1.0
Xenium,CD74,1,0,0.0
Xenium,CD80,1,1,1.0
Xenium,CD86,1,1,1.0
Xenium,CIITA,1,1,1.0
Xenium,HLA-DPA1,1,0,0.0
Xenium,HLA-DPB1,1,0,0.0
Xenium,HLA-DQA1,1,0,0.0
Xenium,HLA-DQB1,1,0,0.0
Xenium,HLA-DRA,1,0,0.0
Xenium,HLA-DRB1,1,0,0.0
Xenium,HLA-DRB5,1,0,0.0
Xenium,ITGAX,1,0,0.0
Xenium,LAMP3,1,1,1.0
Xenium,NLRC5,1,0,0.0
Xenium,PDCD1LG2,1,1,1.0
